TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15
T_29,18,13,13,20,18,15,19,15,16,17,21,20,11,15,16,13
T_30,33,24,24,36,32,27,35,27,30,30,38,37,28,19,30,23
T_31,28,20,20,30,27,22,29,23,25,25,32,31,23,23,17,20
T_32,29,21,21,32,28,23,30,24,26,26,33,32,24,24,26,14
T_33,10,7,7,11,9,8,10,8,9,9,11,11,8,8,9,7
T_34,23,23,23,35,31,26,34,26,29,29,37,36,27,27,29,23
T_35,24,12,17,26,23,19,25,19,21,21,27,26,20,20,21,17
T_36,13,9,6,14,13,10,14,11,12,12,15,14,11,11,12,9
T_37,28,20,20,21,27,22,29,23,25,25,32,31,23,23,25,20
T_38,30,22,21,33,20,24,32,25,27,27,34,33,25,25,27,21
T_39,12,8,8,13,11,7,12,10,11,11,14,13,10,10,11,8
T_40,26,19,18,28,25,21,19,21,23,23,29,29,21,21,23,18
T_41,20,15,14,22,20,16,21,12,18,19,23,23,17,17,18,14
T_42,34,25,24,37,33,28,36,28,22,31,39,38,28,28,31,24
T_43,26,19,18,28,25,21,27,21,23,16,29,29,21,21,23,18
T_44,10,7,7,11,9,8,10,8,9,9,8,11,8,8,9,7
T_45,19,14,14,21,19,16,20,16,17,18,22,15,16,16,17,14
T_46,28,20,20,30,27,22,29,23,25,25,32,31,16,23,25,20
T_47,23,16,16,25,22,18,24,19,20,20,26,25,19,13,20,16
T_48,17,12,12,19,17,14,18,14,15,16,20,19,14,14,11,12
T_49,23,16,16,25,22,18,24,19,20,20,26,25,19,19,20,11
T_50,19,14,14,21,19,16,20,16,17,18,22,22,16,16,17,14
T_51,8,8,8,13,11,9,12,10,11,11,14,13,10,10,11,8
T_52,32,16,23,35,31,26,34,26,29,29,37,36,27,27,29,23
T_53,29,21,14,32,28,23,30,24,26,26,33,32,24,24,26,20
T_54,27,19,19,20,26,22,28,22,24,24,31,30,22,22,24,19
T_55,11,8,8,12,7,9,11,9,10,10,12,12,9,9,10,8
T_56,32,23,23,35,31,18,34,26,29,29,37,36,27,27,29,23
T_57,29,21,21,32,28,23,21,24,26,26,33,32,24,24,26,20
T_58,37,26,26,40,35,29,38,21,33,33,42,41,30,30,33,26
T_59,11,8,8,12,10,9,11,9,7,10,12,12,9,9,10,8
T_60,19,14,14,21,19,16,20,16,17,12,22,22,16,16,17,14
T_61,27,19,19,29,26,22,28,22,24,24,21,30,22,22,24,19
T_62,13,9,9,14,13,10,14,11,12,12,15,10,11,11,12,9
T_63,39,28,27,42,38,31,41,32,35,35,44,43,22,32,35,27
T_64,17,12,12,19,17,14,18,14,15,16,20,19,14,10,15,12
T_65,18,13,13,20,18,15,19,15,16,17,21,20,15,15,11,13
T_66,22,15,15,23,21,17,23,18,19,20,25,24,18,18,19,11
T_67,11,8,8,12,10,9,11,9,10,10,12,12,9,9,10,8
T_68,10,10,10,15,14,11,15,11,12,13,16,16,12,12,12,10
T_69,19,10,14,21,19,16,20,16,17,18,22,22,16,16,17,14
T_70,15,11,7,16,15,12,16,12,13,14,17,17,12,12,13,11
T_71,24,17,17,18,23,19,25,19,21,21,27,26,20,20,21,17
T_72,31,22,22,34,21,25,33,26,28,28,36,35,26,26,28,22
T_73,30,22,21,33,29,17,32,25,27,27,34,33,25,25,27,21
T_74,39,28,27,42,38,31,28,32,35,35,44,43,32,32,35,27
T_75,14,10,10,15,14,11,15,8,12,13,16,16,12,12,12,10
T_76,31,22,22,34,30,25,33,26,19,28,36,35,26,26,28,22
T_77,9,6,6,9,8,7,9,7,8,5,10,10,7,7,8,6
T_78,9,6,6,9,8,7,9,7,8,8,7,10,7,7,8,6
T_79,38,27,27,41,37,30,39,31,34,34,43,29,31,31,34,26
T_80,22,15,15,23,21,17,23,18,19,20,25,24,12,18,19,15
T_81,25,18,17,27,24,20,26,20,22,22,28,28,20,14,22,17
T_82,39,28,27,42,38,31,41,32,35,35,44,43,32,32,24,27
T_83,28,20,20,30,27,22,29,23,25,25,32,31,23,23,25,14
T_84,32,23,23,35,31,26,34,26,29,29,37,36,27,27,29,23
T_85,26,26,26,40,35,29,38,30,33,33,42,41,30,30,33,26
T_86,31,16,22,34,30,25,33,26,28,28,36,35,26,26,28,22
T_87,36,25,18,39,34,28,37,29,32,32,41,39,29,29,32,25
T_88,13,9,9,10,13,10,14,11,12,12,15,14,11,11,12,9
T_89,39,28,27,42,26,31,41,32,35,35,44,43,32,32,35,27
T_90,23,16,16,25,22,13,24,19,20,20,26,25,19,19,20,16
T_91,19,14,14,21,19,16,14,16,17,18,22,22,16,16,17,14
T_92,14,10,10,15,14,11,15,8,12,13,16,16,12,12,12,10
T_93,15,11,11,16,15,12,16,12,9,14,17,17,12,12,13,11
T_94,14,10,10,15,14,11,15,11,12,9,16,16,12,12,12,10
T_95,9,6,6,9,8,7,9,7,8,8,7,10,7,7,8,6
T_96,18,13,13,20,18,15,19,15,16,17,21,14,15,15,16,13
T_97,23,16,16,25,22,18,24,19,20,20,26,25,13,19,20,16
T_98,42,30,30,46,41,34,44,34,37,38,48,47,35,24,37,29
T_99,30,22,21,33,29,24,32,25,27,27,34,33,25,25,19,21
T_100,36,25,25,39,34,28,37,29,32,32,41,39,29,29,32,17
T_101,28,20,20,30,27,22,29,23,25,25,32,31,23,23,25,20
T_102,26,26,26,40,35,29,38,30,33,33,42,41,30,30,33,26
T_103,40,20,28,43,39,32,42,33,36,36,45,44,33,33,36,28
T_104,40,29,20,43,39,32,42,33,36,36,45,44,33,33,36,28
T_105,38,27,27,29,37,30,39,31,34,34,43,42,31,31,34,26
T_106,32,23,23,35,22,26,34,26,29,29,37,36,27,27,29,23
T_107,26,19,18,28,25,14,27,21,23,23,29,29,21,21,23,18
T_108,14,10,10,15,14,11,10,11,12,13,16,16,12,12,12,10
T_109,13,9,9,14,13,10,14,7,12,12,15,14,11,11,12,9
T_110,41,29,29,44,40,33,43,34,26,37,47,45,34,34,37,29
T_111,26,19,18,28,25,21,27,21,23,16,29,29,21,21,23,18
T_112,37,26,26,40,35,29,38,30,33,33,29,41,30,30,33,26
T_113,41,29,29,44,40,33,43,34,36,37,47,32,34,34,37,29
T_114,11,8,8,12,10,9,11,9,10,10,12,12,6,9,10,8
T_115,40,29,28,43,39,32,42,33,36,36,45,44,33,23,36,28
T_116,18,13,13,20,18,15,19,15,16,17,21,20,15,15,11,13
T_117,32,23,23,35,31,26,34,26,29,29,37,36,27,27,29,16
T_118,25,18,17,27,24,20,26,20,22,22,28,28,20,20,22,17
T_119,22,22,22,34,30,25,33,26,28,28,36,35,26,26,28,22
T_120,26,13,18,28,25,21,27,21,23,23,29,29,21,21,23,18
T_121,38,27,19,41,37,30,39,31,34,34,43,42,31,31,34,26
T_122,42,30,30,32,41,34,44,34,37,38,48,47,35,35,37,29
T_123,32,23,23,35,22,26,34,26,29,29,37,36,27,27,29,23
T_124,23,16,16,25,22,13,24,19,20,20,26,25,19,19,20,16
T_125,30,22,21,33,29,24,22,25,27,27,34,33,25,25,27,21
T_126,14,10,10,15,14,11,15,8,12,13,16,16,12,12,12,10
T_127,23,16,16,25,22,18,24,19,14,20,26,25,19,19,20,16
T_128,34,25,24,37,33,28,36,28,31,22,39,38,28,28,31,24
T_129,23,16,16,25,22,18,24,19,20,20,18,25,19,19,20,16
T_130,43,31,30,47,42,34,45,35,38,39,49,33,36,36,38,30
T_131,26,19,18,28,25,21,27,21,23,23,29,29,15,21,23,18
T_132,40,29,28,43,39,32,42,33,36,36,45,44,33,23,36,28
T_133,40,29,28,43,39,32,42,33,36,36,45,44,33,33,25,28
T_134,16,12,11,18,16,13,17,13,14,15,18,18,13,13,14,8
T_135,31,22,22,34,30,25,33,26,28,28,36,35,26,26,28,22
T_136,29,30,30,46,41,34,44,34,37,38,48,47,35,35,37,29
T_137,38,19,27,41,37,30,39,31,34,34,43,42,31,31,34,26
T_138,26,19,13,28,25,21,27,21,23,23,29,29,21,21,23,18
T_139,26,19,18,20,25,21,27,21,23,23,29,29,21,21,23,18
T_140,37,26,26,40,25,29,38,30,33,33,42,41,30,30,33,26
T_141,27,19,19,29,26,15,28,22,24,24,31,30,22,22,24,19
T_142,27,19,19,29,26,22,20,22,24,24,31,30,22,22,24,19
T_143,33,24,24,36,32,27,35,19,30,30,38,37,28,28,30,23
T_144,43,31,30,47,42,34,45,35,27,39,49,48,36,36,38,30
T_145,32,23,23,35,31,26,34,26,29,20,37,36,27,27,29,23
T_146,26,19,18,28,25,21,27,21,23,23,21,29,21,21,23,18
T_147,16,12,11,18,16,13,17,13,14,15,18,13,13,13,14,11
T_148,18,13,13,20,18,15,19,15,16,17,21,20,11,15,16,13
T_149,41,29,29,44,40,33,43,34,36,37,47,45,34,24,37,29
T_150,38,27,27,41,37,30,39,31,34,34,43,42,31,31,24,26
T_151,16,12,11,18,16,13,17,13,14,15,18,18,13,13,14,8
T_152,20,15,14,22,20,16,21,17,18,19,23,23,17,17,18,14
T_153,22,22,22,34,30,25,33,26,28,28,36,35,26,26,28,22
T_154,31,16,22,34,30,25,33,26,28,28,36,35,26,26,28,22
T_155,20,15,10,22,20,16,21,17,18,19,23,23,17,17,18,14
T_156,33,24,24,25,32,27,35,27,30,30,38,37,28,28,30,23
T_157,18,13,13,20,12,15,19,15,16,17,21,20,15,15,16,13
T_158,40,29,28,43,39,22,42,33,36,36,45,44,33,33,36,28
T_159,43,31,30,47,42,34,32,35,38,39,49,48,36,36,38,30
T_160,17,12,12,19,17,14,18,10,15,16,20,19,14,14,15,12
T_161,32,23,23,35,31,26,34,26,20,29,37,36,27,27,29,23
T_162,28,20,20,30,27,22,29,23,25,18,32,31,23,23,25,20
T_163,18,13,13,20,18,15,19,15,16,17,15,20,15,15,16,13
T_164,30,22,21,33,29,24,32,25,27,27,34,23,25,25,27,21
T_165,33,24,24,36,32,27,35,27,30,30,38,37,19,28,30,23
T_166,26,19,18,28,25,21,27,21,23,23,29,29,21,15,23,18
T_167,34,25,24,37,33,28,36,28,31,31,39,38,28,28,22,24
T_168,42,30,30,46,41,34,44,34,37,38,48,47,35,35,37,21
T_169,20,15,14,22,20,16,21,17,18,19,23,23,17,17,18,14
T_170,14,15,14,22,20,16,21,17,18,19,23,23,17,17,18,14
T_171,41,21,29,44,40,33,43,34,36,37,47,45,34,34,37,29
T_172,37,26,18,40,35,29,38,30,33,33,42,41,30,30,33,26
T_173,42,30,30,32,41,34,44,34,37,38,48,47,35,35,37,29
T_174,36,25,25,39,24,28,37,29,32,32,41,39,29,29,32,25
T_175,17,12,12,19,17,10,18,14,15,16,20,19,14,14,15,12
T_176,28,20,20,30,27,22,20,23,25,25,32,31,23,23,25,20
T_177,34,25,24,37,33,28,36,20,31,31,39,38,28,28,31,24
T_178,22,15,15,23,21,17,23,18,13,20,25,24,18,18,19,15
T_179,15,11,11,16,15,12,16,12,13,10,17,17,12,12,13,11
T_180,34,25,24,37,33,28,36,28,31,31,27,38,28,28,31,24
T_181,16,12,11,18,16,13,17,13,14,15,18,13,13,13,14,11
T_182,42,30,30,46,41,34,44,34,37,38,48,47,24,35,37,29
T_183,36,25,25,39,34,28,37,29,32,32,41,39,29,21,32,25
T_184,37,26,26,40,35,29,38,30,33,33,42,41,30,30,23,26
T_185,42,30,30,46,41,34,44,34,37,38,48,47,35,35,37,21
T_186,41,29,29,44,40,33,43,34,36,37,47,45,34,34,37,29
T_187,18,19,18,28,25,21,27,21,23,23,29,29,21,21,23,18
T_188,22,11,15,23,21,17,23,18,19,20,25,24,18,18,19,15
T_189,19,14,10,21,19,16,20,16,17,18,22,22,16,16,17,14
T_190,33,24,24,25,32,27,35,27,30,30,38,37,28,28,30,23
T_191,18,13,13,20,12,15,19,15,16,17,21,20,15,15,16,13
T_192,33,24,24,36,32,19,35,27,30,30,38,37,28,28,30,23
T_193,24,17,17,26,23,19,17,19,21,21,27,26,20,20,21,17
T_194,16,12,11,18,16,13,17,9,14,15,18,18,13,13,14,11
T_195,31,22,22,34,30,25,33,26,19,28,36,35,26,26,28,22
T_196,13,9,9,14,13,10,14,11,12,8,15,14,11,11,12,9
T_197,41,29,29,44,40,33,43,34,36,37,33,45,34,34,37,29
T_198,18,13,13,20,18,15,19,15,16,17,21,14,15,15,16,13
T_199,34,25,24,37,33,28,36,28,31,31,39,38,20,28,31,24
T_200,28,20,20,30,27,22,29,23,25,25,32,31,23,16,25,20
T_201,40,29,28,43,39,32,42,33,36,36,45,44,33,33,25,28
T_202,34,25,24,37,33,28,36,28,31,31,39,38,28,28,31,17
T_203,36,25,25,39,34,28,37,29,32,32,41,39,29,29,32,25
T_204,19,19,19,29,26,22,28,22,24,24,31,30,22,22,24,19
T_205,24,12,17,26,23,19,25,19,21,21,27,26,20,20,21,17
T_206,12,8,6,13,11,9,12,10,11,11,14,13,10,10,11,8
T_207,42,30,30,32,41,34,44,34,37,38,48,47,35,35,37,29
T_208,28,20,20,30,19,22,29,23,25,25,32,31,23,23,25,20
T_209,30,22,21,33,29,17,32,25,27,27,34,33,25,25,27,21
T_210,40,29,28,43,39,32,29,33,36,36,45,44,33,33,36,28
T_211,24,17,17,26,23,19,25,14,21,21,27,26,20,20,21,17
T_212,10,7,7,11,9,8,10,8,6,9,11,11,8,8,9,7
T_213,32,23,23,35,31,26,34,26,29,20,37,36,27,27,29,23
T_214,14,10,10,15,14,11,15,11,12,13,11,16,12,12,12,10
T_215,34,25,24,37,33,28,36,28,31,31,39,27,28,28,31,24
T_216,32,23,23,35,31,26,34,26,29,29,37,36,19,27,29,23
T_217,28,20,20,30,27,22,29,23,25,25,32,31,23,16,25,20
T_218,23,16,16,25,22,18,24,19,20,20,26,25,19,19,14,16
T_219,25,18,17,27,24,20,26,20,22,22,28,28,20,20,22,12
T_220,15,11,11,16,15,12,16,12,13,14,17,17,12,12,13,11
T_221,29,29,29,44,40,33,43,34,36,37,47,45,34,34,37,29
T_222,17,9,12,19,17,14,18,14,15,16,20,19,14,14,15,12
T_223,26,19,13,28,25,21,27,21,23,23,29,29,21,21,23,18
T_224,11,8,8,8,10,9,11,9,10,10,12,12,9,9,10,8
T_225,27,19,19,29,18,22,28,22,24,24,31,30,22,22,24,19
T_226,41,29,29,44,40,23,43,34,36,37,47,45,34,34,37,29
T_227,41,29,29,44,40,33,30,34,36,37,47,45,34,34,37,29
T_228,29,21,21,32,28,23,30,17,26,26,33,32,24,24,26,20
T_229,42,30,30,46,41,34,44,34,26,38,48,47,35,35,37,29
T_230,11,8,8,12,10,9,11,9,10,7,12,12,9,9,10,8
T_231,31,22,22,34,30,25,33,26,28,28,25,35,26,26,28,22
T_232,37,26,26,40,35,29,38,30,33,33,42,28,30,30,33,26
T_233,24,17,17,26,23,19,25,19,21,21,27,26,14,20,21,17
T_234,26,19,18,28,25,21,27,21,23,23,29,29,21,15,23,18
T_235,13,9,9,14,13,10,14,11,12,12,15,14,11,11,8,9
T_236,25,18,17,27,24,20,26,20,22,22,28,28,20,20,22,12
T_237,12,8,8,13,11,9,12,10,11,11,14,13,10,10,11,8
T_238,27,28,27,42,38,31,41,32,35,35,44,43,32,32,35,27
T_239,19,10,14,21,19,16,20,16,17,18,22,22,16,16,17,14
T_240,17,12,9,19,17,14,18,14,15,16,20,19,14,14,15,12
T_241,9,6,6,7,8,7,9,7,8,8,10,10,7,7,8,6
T_242,10,7,7,11,7,8,10,8,9,9,11,11,8,8,9,7
T_243,38,27,27,41,37,21,39,31,34,34,43,42,31,31,34,26
T_244,22,15,15,23,21,17,16,18,19,20,25,24,18,18,19,15
T_245,16,12,11,18,16,13,17,9,14,15,18,18,13,13,14,11
T_246,43,31,30,47,42,34,45,35,27,39,49,48,36,36,38,30
T_247,14,10,10,15,14,11,15,11,12,9,16,16,12,12,12,10
T_248,12,8,8,13,11,9,12,10,11,11,9,13,10,10,11,8
T_249,26,19,18,28,25,21,27,21,23,23,29,20,21,21,23,18
T_250,9,6,6,9,8,7,9,7,8,8,10,10,5,7,8,6
T_251,31,22,22,34,30,25,33,26,28,28,36,35,26,18,28,22
T_252,13,9,9,14,13,10,14,11,12,12,15,14,11,11,8,9
T_253,10,7,7,11,9,8,10,8,9,9,11,11,8,8,9,5
T_254,40,29,28,43,39,32,42,33,36,36,45,44,33,33,36,28
T_255,9,9,9,14,13,10,14,11,12,12,15,14,11,11,12,9
T_256,25,12,17,27,24,20,26,20,22,22,28,28,20,20,22,17
T_257,42,30,21,46,41,34,44,34,37,38,48,47,35,35,37,29
T_258,43,31,30,33,42,34,45,35,38,39,49,48,36,36,38,30
T_259,30,22,21,33,20,24,32,25,27,27,34,33,25,25,27,21
T_260,39,28,27,42,38,22,41,32,35,35,44,43,32,32,35,27
T_261,41,29,29,44,40,33,30,34,36,37,47,45,34,34,37,29
T_262,32,23,23,35,31,26,34,19,29,29,37,36,27,27,29,23
T_263,15,11,11,16,15,12,16,12,9,14,17,17,12,12,13,11
T_264,19,14,14,21,19,16,20,16,17,12,22,22,16,16,17,14
T_265,37,26,26,40,35,29,38,30,33,33,29,41,30,30,33,26
T_266,42,30,30,46,41,34,44,34,37,38,48,33,35,35,37,29
T_267,13,9,9,14,13,10,14,11,12,12,15,14,7,11,12,9
T_268,39,28,27,42,38,31,41,32,35,35,44,43,32,22,35,27
T_269,30,22,21,33,29,24,32,25,27,27,34,33,25,25,19,21
T_270,18,13,13,20,18,15,19,15,16,17,21,20,15,15,16,9
T_271,37,26,26,40,35,29,38,30,33,33,42,41,30,30,33,26
T_272,7,7,7,11,9,8,10,8,9,9,11,11,8,8,9,7
T_273,14,7,10,15,14,11,15,11,12,13,16,16,12,12,12,10
T_274,33,24,16,36,32,27,35,27,30,30,38,37,28,28,30,23
T_275,12,8,8,9,11,9,12,10,11,11,14,13,10,10,11,8
T_276,37,26,26,40,25,29,38,30,33,33,42,41,30,30,33,26
T_277,31,22,22,34,30,18,33,26,28,28,36,35,26,26,28,22
T_278,29,21,21,32,28,23,21,24,26,26,33,32,24,24,26,20
T_279,25,18,17,27,24,20,26,14,22,22,28,28,20,20,22,17
T_280,20,15,14,22,20,16,21,17,13,19,23,23,17,17,18,14
T_281,27,19,19,29,26,22,28,22,24,17,31,30,22,22,24,19
T_282,43,31,30,47,42,34,45,35,38,39,34,48,36,36,38,30
T_283,32,23,23,35,31,26,34,26,29,29,37,25,27,27,29,23
T_284,36,25,25,39,34,28,37,29,32,32,41,39,21,29,32,25
T_285,38,27,27,41,37,30,39,31,34,34,43,42,31,22,34,26
T_286,37,26,26,40,35,29,38,30,33,33,42,41,30,30,23,26
T_287,31,22,22,34,30,25,33,26,28,28,36,35,26,26,28,15
T_288,39,28,27,42,38,31,41,32,35,35,44,43,32,32,35,27
T_289,26,27,27,41,37,30,39,31,34,34,43,42,31,31,34,26
T_290,20,10,14,22,20,16,21,17,18,19,23,23,17,17,18,14
T_291,43,31,21,47,42,34,45,35,38,39,49,48,36,36,38,30
T_292,15,11,11,11,15,12,16,12,13,14,17,17,12,12,13,11
T_293,43,31,30,47,29,34,45,35,38,39,49,48,36,36,38,30
T_294,9,6,6,9,8,5,9,7,8,8,10,10,7,7,8,6
T_295,22,15,15,23,21,17,16,18,19,20,25,24,18,18,19,15
T_296,34,25,24,37,33,28,36,20,31,31,39,38,28,28,31,24
T_297,16,12,11,18,16,13,17,13,10,15,18,18,13,13,14,11
T_298,16,12,11,18,16,13,17,13,14,10,18,18,13,13,14,11
T_299,39,28,27,42,38,31,41,32,35,35,31,43,32,32,35,27
T_300,41,29,29,44,40,33,43,34,36,37,47,32,34,34,37,29
T_301,19,14,14,21,19,16,20,16,17,18,22,22,11,16,17,14
T_302,18,13,13,20,18,15,19,15,16,17,21,20,15,11,16,13
T_303,37,26,26,40,35,29,38,30,33,33,42,41,30,30,23,26
T_304,33,24,24,36,32,27,35,27,30,30,38,37,28,28,30,16
T_305,15,11,11,16,15,12,16,12,13,14,17,17,12,12,13,11
T_306,10,10,10,15,14,11,15,11,12,13,16,16,12,12,12,10
T_307,14,7,10,15,14,11,15,11,12,13,16,16,12,12,12,10
T_308,11,8,5,12,10,9,11,9,10,10,12,12,9,9,10,8
T_309,24,17,17,18,23,19,25,19,21,21,27,26,20,20,21,17
T_310,41,29,29,44,28,33,43,34,36,37,47,45,34,34,37,29
T_311,22,15,15,23,21,12,23,18,19,20,25,24,18,18,19,15
T_312,16,12,11,18,16,13,12,13,14,15,18,18,13,13,14,11
T_313,11,8,8,12,10,9,11,6,10,10,12,12,9,9,10,8
T_314,36,25,25,39,34,28,37,29,22,32,41,39,29,29,32,25
T_315,42,30,30,46,41,34,44,34,37,27,48,47,35,35,37,29
T_316,14,10,10,15,14,11,15,11,12,13,11,16,12,12,12,10
T_317,19,14,14,21,19,16,20,16,17,18,22,15,16,16,17,14
T_318,19,14,14,21,19,16,20,16,17,18,22,22,11,16,17,14
T_319,12,8,8,13,11,9,12,10,11,11,14,13,10,7,11,8
T_320,16,12,11,18,16,13,17,13,14,15,18,18,13,13,10,11
T_321,17,12,12,19,17,14,18,14,15,16,20,19,14,14,15,8
T_322,23,16,16,25,22,18,24,19,20,20,26,25,19,19,20,16
T_323,8,8,8,12,10,9,11,9,10,10,12,12,9,9,10,8
T_324,37,18,26,40,35,29,38,30,33,33,42,41,30,30,33,26
T_325,28,20,14,30,27,22,29,23,25,25,32,31,23,23,25,20
T_326,32,23,23,25,31,26,34,26,29,29,37,36,27,27,29,23
T_327,37,26,26,40,25,29,38,30,33,33,42,41,30,30,33,26
T_328,9,6,6,9,8,5,9,7,8,8,10,10,7,7,8,6
T_329,32,23,23,35,31,26,24,26,29,29,37,36,27,27,29,23
T_330,14,10,10,15,14,11,15,8,12,13,16,16,12,12,12,10
T_331,23,16,16,25,22,18,24,19,14,20,26,25,19,19,20,16
T_332,42,30,30,46,41,34,44,34,37,27,48,47,35,35,37,29
T_333,36,25,25,39,34,28,37,29,32,32,28,39,29,29,32,25
T_334,43,31,30,47,42,34,45,35,38,39,49,33,36,36,38,30
T_335,23,16,16,25,22,18,24,19,20,20,26,25,13,19,20,16
T_336,29,21,21,32,28,23,30,24,26,26,33,32,24,17,26,20
T_337,9,6,6,9,8,7,9,7,8,8,10,10,7,7,5,6
T_338,23,16,16,25,22,18,24,19,20,20,26,25,19,19,20,11
T_339,23,16,16,25,22,18,24,19,20,20,26,25,19,19,20,16
T_340,28,29,28,43,39,32,42,33,36,36,45,44,33,33,36,28
T_341,12,6,8,13,11,9,12,10,11,11,14,13,10,10,11,8
T_342,15,11,7,16,15,12,16,12,13,14,17,17,12,12,13,11
T_343,13,9,9,10,13,10,14,11,12,12,15,14,11,11,12,9
T_344,23,16,16,25,15,18,24,19,20,20,26,25,19,19,20,16
T_345,13,9,9,14,13,7,14,11,12,12,15,14,11,11,12,9
T_346,27,19,19,29,26,22,20,22,24,24,31,30,22,22,24,19
T_347,18,13,13,20,18,15,19,10,16,17,21,20,15,15,16,13
T_348,26,19,18,28,25,21,27,21,16,23,29,29,21,21,23,18
T_349,19,14,14,21,19,16,20,16,17,12,22,22,16,16,17,14
T_350,41,29,29,44,40,33,43,34,36,37,33,45,34,34,37,29
T_351,29,21,21,32,28,23,30,24,26,26,33,23,24,24,26,20
T_352,22,15,15,23,21,17,23,18,19,20,25,24,12,18,19,15
T_353,41,29,29,44,40,33,43,34,36,37,47,45,34,24,37,29
T_354,22,15,15,23,21,17,23,18,19,20,25,24,18,18,13,15
T_355,29,21,21,32,28,23,30,24,26,26,33,32,24,24,26,14
T_356,36,25,25,39,34,28,37,29,32,32,41,39,29,29,32,25
T_357,26,27,27,41,37,30,39,31,34,34,43,42,31,31,34,26
T_358,38,19,27,41,37,30,39,31,34,34,43,42,31,31,34,26
T_359,43,31,21,47,42,34,45,35,38,39,49,48,36,36,38,30
T_360,13,9,9,10,13,10,14,11,12,12,15,14,11,11,12,9
T_361,27,19,19,29,18,22,28,22,24,24,31,30,22,22,24,19
T_362,37,26,26,40,35,21,38,30,33,33,42,41,30,30,33,26
T_363,12,8,8,13,11,9,9,10,11,11,14,13,10,10,11,8
T_364,34,25,24,37,33,28,36,20,31,31,39,38,28,28,31,24
T_365,10,7,7,11,9,8,10,8,6,9,11,11,8,8,9,7
T_366,37,26,26,40,35,29,38,30,33,23,42,41,30,30,33,26
T_367,38,27,27,41,37,30,39,31,34,34,30,42,31,31,34,26
T_368,34,25,24,37,33,28,36,28,31,31,39,27,28,28,31,24
T_369,30,22,21,33,29,24,32,25,27,27,34,33,17,25,27,21
T_370,20,15,14,22,20,16,21,17,18,19,23,23,17,12,18,14
T_371,26,19,18,28,25,21,27,21,23,23,29,29,21,21,16,18
T_372,32,23,23,35,31,26,34,26,29,29,37,36,27,27,29,16
T_373,34,25,24,37,33,28,36,28,31,31,39,38,28,28,31,24
T_374,8,8,8,13,11,9,12,10,11,11,14,13,10,10,11,8
T_375,9,4,6,9,8,7,9,7,8,8,10,10,7,7,8,6
T_376,40,29,20,43,39,32,42,33,36,36,45,44,33,33,36,28
T_377,39,28,27,29,38,31,41,32,35,35,44,43,32,32,35,27
T_378,23,16,16,25,15,18,24,19,20,20,26,25,19,19,20,16
T_379,33,24,24,36,32,19,35,27,30,30,38,37,28,28,30,23
T_380,18,13,13,20,18,15,13,15,16,17,21,20,15,15,16,13
T_381,27,19,19,29,26,22,28,15,24,24,31,30,22,22,24,19
T_382,24,17,17,26,23,19,25,19,15,21,27,26,20,20,21,17
T_383,32,23,23,35,31,26,34,26,29,20,37,36,27,27,29,23
T_384,29,21,21,32,28,23,30,24,26,26,23,32,24,24,26,20
